과제,조모임,학점 비율,출결,시험 횟수,name,prof
보통,없음,비율 채워줌,직접호명,두 번,러시아어II,윤서현
없음,없음,학점느님,직접호명,한 번,러시아어회화II,아자리나 리디아
많음,많음,학점느님,직접호명,한 번,러시아지역경제의이해,김상원
보통,없음,비율 채워줌,직접호명,한 번,러시아외교와국제관계,장덕준
보통,보통,비율 채워줌,직접호명,두 번,러시아어IV,아자리나 리디아
보통,보통,학점느님,직접호명,두 번,한러경제협력론,이상준
보통,보통,비율 채워줌,직접호명,두 번,러시아시사뉴스분석,강윤희
보통,없음,매우 깐깐함,직접호명,두 번,유라시아투자환경및진출전략,이상준
많음,없음,매우 깐깐함,직접호명,한 번,러시아의엘리트와리더십,장덕준
보통,없음,학점느님,직접호명,두 번,시사러시아어,아자리나 리디아
보통,없음,학점느님,직접호명,두 번,지역전문가과정일본어II,김학순
보통,없음,학점느님,직접호명,없음,사제동행세미나,김현욱
없음,없음,학점느님,직접호명,없음,사제동행세미나,이원덕
보통,많음,학점느님,직접호명,두 번,일본전통문화의이해,김현욱
보통,많음,비율 채워줌,직접호명,두 번,지역전문가과정일본어IV,김현욱
보통,없음,비율 채워줌,반영안함,두 번,일본외교와국제관계,최희식
보통,많음,비율 채워줌,직접호명,한 번,세계경제와일본경제,박창건
많음,보통,비율 채워줌,직접호명,한 번,일본문화컨텐츠연구,박선영
없음,보통,비율 채워줌,직접호명,두 번,한반도와일본,윤석정
보통,보통,학점느님,직접호명,한 번,일본산업동향분석(캡스톤디자인),박창건
없음,없음,학점느님,직접호명,없음,사제동행세미나,조경호
없음,없음,비율 채워줌,직접호명,두 번,재난관리론,최진식
보통,없음,학점느님,직접호명,두 번,PR과공공마케팅,김종범
보통,없음,매우 깐깐함,직접호명,두 번,정책집행론,안미영
보통,많음,학점느님,직접호명,없음,정치현장연습,이종찬
없음,많음,학점느님,직접호명,없음,정치현장연습,홍미화
없음,보통,비율 채워줌,직접호명,두 번,근대정치사상,박수인
보통,없음,학점느님,직접호명,두 번,지방정치론,고댕
보통,보통,학점느님,직접호명,두 번,정치사회학,김경래
보통,보통,비율 채워줌,직접호명,두 번,기초사회통계,홍미화
보통,없음,비율 채워줌,직접호명,두 번,정보화사회의정치,고댕
보통,없음,매우 깐깐함,직접호명,두 번,유럽통합과국제정치,배병인
보통,없음,비율 채워줌,직접호명,두 번,미국정치론,장승진
많음,많음,학점느님,직접호명,두 번,국제정치경제론,이종찬
없음,없음,매우 깐깐함,직접호명,두 번,사회학역사와고전이론,장상철
보통,없음,비율 채워줌,직접호명,두 번,사회조사방법론,신동준
보통,보통,비율 채워줌,직접호명,한 번,환경사회학,한광희
보통,보통,비율 채워줌,혼용,없음,정보사회의쟁점과비전,최항섭
보통,없음,비율 채워줌,직접호명,두 번,성과사회,고댕
보통,보통,비율 채워줌,직접호명,한 번,생명과학과시민윤리,김환석
보통,없음,매우 깐깐함,직접호명,두 번,비교역사사회학,채오병
보통,없음,비율 채워줌,직접호명,두 번,문화/예술사회학,김수정
보통,보통,학점느님,직접호명,없음,사제동행세미나,이창현
없음,없음,학점느님,직접호명,없음,사제동행세미나,이종민
보통,없음,비율 채워줌,직접호명,두 번,미디어연구방법,김성준
보통,보통,학점느님,직접호명,두 번,미디어연구방법,홍주현
많음,없음,매우 깐깐함,직접호명,한 번,사진실습,이창현
많음,없음,비율 채워줌,직접호명,두 번,방송의이해,이창현
없음,없음,학점느님,직접호명,두 번,뉴스문장실습,변상욱
많음,없음,학점느님,전자출결,한 번,데이터저널리즘,홍주현
많음,많음,매우 깐깐함,직접호명,두 번,설득커뮤니케이션,나은경
보통,많음,비율 채워줌,직접호명,두 번,여론과사회,이대현
보통,많음,비율 채워줌,직접호명,두 번,전략커뮤니케이션1,최동원
많음,많음,비율 채워줌,전자출결,한 번,전략커뮤니케이션1,이종민
보통,많음,학점느님,직접호명,두 번,글로벌광고,최동원
보통,보통,학점느님,직접호명,두 번,소비자행동,이세진
보통,보통,비율 채워줌,직접호명,두 번,OOH프로모션전략,고한준
보통,보통,비율 채워줌,직접호명,한 번,캡스톤디자인1,이종선
보통,없음,비율 채워줌,직접호명,두 번,광고와사회적이슈,고한준
보통,보통,비율 채워줌,직접호명,한 번,공공PR,이종선
보통,없음,비율 채워줌,직접호명,두 번,채권총론,홍윤선
보통,없음,학점느님,직접호명,두 번,헌법I,김충구
없음,없음,학점느님,직접호명,두 번,형법총칙,임재훈
보통,없음,매우 깐깐함,직접호명,두 번,물권법,안경희
없음,없음,학점느님,직접호명,두 번,채권총론,김동훈
없음,없음,학점느님,직접호명,두 번,채권총론,남윤삼
보통,없음,매우 깐깐함,직접호명,두 번,채권총론,안경희
없음,없음,비율 채워줌,직접호명,두 번,헌법I,정철
보통,없음,학점느님,직접호명,두 번,헌법I,박종현
많음,보통,학점느님,직접호명,없음,사제동행세미나,안경봉
보통,보통,학점느님,직접호명,두 번,사제동행세미나,김택주
없음,보통,학점느님,직접호명,없음,사제동행세미나,박민
보통,보통,학점느님,직접호명,두 번,사제동행세미나,박종현
없음,없음,비율 채워줌,직접호명,두 번,물권법,남윤삼
없음,없음,학점느님,직접호명,두 번,형법총칙,노동혁
많음,보통,비율 채워줌,직접호명,두 번,경제법,이호선
없음,없음,매우 깐깐함,직접호명,두 번,국제법I,정진석
없음,없음,학점느님,직접호명,두 번,행정구제법,박민
없음,없음,비율 채워줌,전자출결,두 번,행정구제법,김성배
없음,없음,매우 깐깐함,직접호명,두 번,행정구제법,김민섭
많음,없음,비율 채워줌,직접호명,한 번,법률문서작성,전해정
없음,없음,비율 채워줌,반영안함,두 번,국제법연습,신홍균
보통,없음,비율 채워줌,직접호명,두 번,형사소송법,표성수
없음,없음,비율 채워줌,직접호명,두 번,형사소송법,이동기
보통,없음,학점느님,반영안함,없음,법률사회봉사,정철
보통,보통,비율 채워줌,직접호명,없음,행정법판례,박민
없음,보통,비율 채워줌,직접호명,두 번,조세법각론,안경봉
없음,없음,학점느님,직접호명,두 번,조세법각론,손영철
많음,없음,매우 깐깐함,혼용,두 번,북한법,박정원
보통,없음,비율 채워줌,직접호명,두 번,국제조세법,안경봉
없음,없음,비율 채워줌,직접호명,두 번,회사법I,김택주
보통,없음,매우 깐깐함,직접호명,두 번,가족법,안경희
없음,없음,매우 깐깐함,직접호명,두 번,민사소송법II,김재희
보통,없음,비율 채워줌,직접호명,한 번,법철학,전해정
없음,없음,학점느님,직접호명,두 번,보험해상법,한창희
없음,없음,학점느님,반영안함,두 번,정보통신법,신홍균
보통,없음,학점느님,반영안함,한 번,민법판례,김동훈
없음,없음,비율 채워줌,직접호명,두 번,지적재산권법II,나강
없음,없음,학점느님,직접호명,두 번,상법판례,임채욱
없음,없음,비율 채워줌,직접호명,한 번,민사모의재판,노동혁
없음,없음,학점느님,직접호명,두 번,문화산업법,황승흠
보통,없음,학점느님,지정좌석,한 번,금융법,남유선
보통,없음,학점느님,직접호명,두 번,경제수학,이상아
없음,없음,비율 채워줌,직접호명,두 번,경제수학,김동욱
없음,없음,비율 채워줌,직접호명,두 번,경제학원론2,김인걸
보통,없음,비율 채워줌,직접호명,두 번,경제학원론2,박진우
없음,없음,비율 채워줌,직접호명,두 번,통계학,윤가원
보통,없음,매우 깐깐함,직접호명,두 번,거시경제학,김현학
많음,없음,비율 채워줌,직접호명,두 번,미시경제학,이상아
없음,없음,비율 채워줌,직접호명,두 번,공공부문의경제학,김동욱
